event_type,policy,n_claims,auto_approved,reviewed,wrong_approvals,auto_rate,wrong_auto_rate,wrong_rate_low,wrong_rate_high,wrong_per_1000,gross_review_savings,automation_cost,wrong_approval_loss,net_cost,net_savings,handling_hours,mean_turnaround_hours
billing_anomaly,Manual,40,0,40,0,0.0,,,,0.0,0.0,0.0,0.0,720.0,0.0,8.0,24.2
correction,Manual,146,0,146,0,0.0,,,,0.0,0.0,0.0,0.0,2628.0,0.0,29.2,24.2
coverage_failure,Manual,74,0,74,0,0.0,,,,0.0,0.0,0.0,0.0,1332.0,0.0,14.8,24.2
documentation_resolved,Manual,161,0,161,0,0.0,,,,0.0,0.0,0.0,0.0,2898.0,0.0,32.2,24.2
duplicate,Manual,88,0,88,0,0.0,,,,0.0,0.0,0.0,0.0,1584.0,0.0,17.6,24.2
legitimate_unusual,Manual,261,0,261,0,0.0,,,,0.0,0.0,0.0,0.0,4698.0,0.0,52.2,24.2
medical_necessity_failure,Manual,139,0,139,0,0.0,,,,0.0,0.0,0.0,0.0,2502.0,0.0,27.8,24.2
repeat_therapy,Manual,187,0,187,0,0.0,,,,0.0,0.0,0.0,0.0,3366.0,0.0,37.4,24.2
routine,Manual,5494,0,5494,0,0.0,,,,0.0,0.0,0.0,0.0,98892.0,0.0,1098.8,24.2
unresolved_documentation,Manual,37,0,37,0,0.0,,,,0.0,0.0,0.0,0.0,666.0,0.0,7.4,24.2
billing_anomaly,Checks,40,4,36,4,0.1,1.0,0.5100999795960008,1.0,100.0,72.0,1.4,1231.9099999999999,1881.31,-1161.31,7.216666666666667,21.780416666666664
correction,Checks,146,0,146,0,0.0,,,,0.0,0.0,0.0,0.0,2628.0,0.0,29.2,24.2
coverage_failure,Checks,74,4,70,4,0.05405405405405406,1.0,0.5100999795960008,1.0,54.054054054054056,72.0,1.4,1219.56,2480.96,-1148.96,14.016666666666667,22.892117117117117
documentation_resolved,Checks,161,0,161,0,0.0,,,,0.0,0.0,0.0,0.0,2898.0,0.0,32.2,24.2
duplicate,Checks,88,0,88,0,0.0,,,,0.0,0.0,0.0,0.0,1584.0,0.0,17.6,24.2
legitimate_unusual,Checks,261,205,56,0,0.7854406130268199,0.0,0.0,0.018394802568070728,0.0,3690.0,71.75,0.0,1079.75,3618.25,12.054166666666667,5.195609833971903
medical_necessity_failure,Checks,139,139,0,139,1.0,1.0,0.9731058739190823,1.0,1000.0,2502.0,48.65,40682.3,40730.95,-38228.95,0.5791666666666667,0.004166666666666667
repeat_therapy,Checks,187,0,187,0,0.0,,,,0.0,0.0,0.0,0.0,3366.0,0.0,37.4,24.2
routine,Checks,5494,5494,0,0,1.0,0.0,0.0,0.0006987469409813479,0.0,98892.0,1922.8999999999999,0.0,1922.9,96969.1,22.891666666666666,0.004166666666666667
unresolved_documentation,Checks,37,12,25,12,0.32432432432432434,1.0,0.7574992425007574,1.0,324.3243243243243,216.0,4.199999999999999,3497.5699999999997,3951.77,-3285.77,5.05,16.3527027027027
billing_anomaly,Checks + score,40,1,39,1,0.025,1.0,0.20654329147389294,1.0,25.0,18.0,0.35,321.88,1024.23,-304.23,7.804166666666666,23.595104166666665
correction,Checks + score,146,0,146,0,0.0,,,,0.0,0.0,0.0,0.0,2628.0,0.0,29.2,24.2
coverage_failure,Checks + score,74,1,73,1,0.013513513513513514,1.0,0.20654329147389294,1.0,13.513513513513514,18.0,0.35,321.88,1636.23,-304.23,14.604166666666666,23.873029279279276
documentation_resolved,Checks + score,161,0,161,0,0.0,,,,0.0,0.0,0.0,0.0,2898.0,0.0,32.2,24.2
duplicate,Checks + score,88,0,88,0,0.0,,,,0.0,0.0,0.0,0.0,1584.0,0.0,17.6,24.2
legitimate_unusual,Checks + score,261,180,81,0,0.6896551724137931,0.0,0.0,0.02089624981505818,0.0,3240.0,62.99999999999999,0.0,1521.0,3177.0,16.95,7.513218390804598
medical_necessity_failure,Checks + score,139,54,85,54,0.38848920863309355,1.0,0.9335841332189981,1.0,388.48920863309354,972.0,18.9,15751.17,17300.07,-14798.07,17.225,14.800179856115108
repeat_therapy,Checks + score,187,0,187,0,0.0,,,,0.0,0.0,0.0,0.0,3366.0,0.0,37.4,24.2
routine,Checks + score,5494,4884,610,0,0.8889697852202403,0.0,0.0,0.0007859501830010203,0.0,87912.0,1709.3999999999999,0.0,12689.400000000001,86202.6,142.35,2.6906352384419367
unresolved_documentation,Checks + score,37,3,34,3,0.08108108108108109,1.0,0.43849391955098227,1.0,81.08108108108108,54.0,1.0499999999999998,832.22,1445.27,-779.27,6.8125,22.238175675675677
